sample,Akashiwo sanguinea,Alexandrium andersonii,Alexandrium hiranoi,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium klebsii,Azadinium poporum,Chrysochromulina leadbeateri,Dinophysis acuminata,Dinophysis miles,Fibrocapsa japonica,Gonyaulax spinifera,Gymnodinium catenatum,Heterosigma akashiwo,Karenia mikimotoi,Karlodinium veneficum,Lingulodinium polyedra,Margalefidinium fulvescens,Margalefidinium polykrikoides,Polykrikos hartmannii,Prorocentrum cordatum,Prorocentrum rhathymum,Protoceratium reticulatum,Protoperidinium crassipes,Prymnesium parvum,Prymnesium polylepis,Pseudo-nitzschia australis,Pseudo-nitzschia cuspidata,Pseudo-nitzschia delicatissima,Pseudochattonella verruculosa,Alexandrium cohorticula,Asterionellopsis glacialis,Aureococcus anophagefferens,Chaetoceros curvisetus,Chaetoceros debilis,Chaetoceros diadema,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros rostratus,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros tenuissimus,Chaetoceros throndsenii,Coscinodiscus radiatus,Cyclotella meneghiniana,Cylindrotheca closterium,Dictyocha fibula,Dunaliella salina,Eucampia zodiacus,Gonyaulax polygramma,Gonyaulax verior,Guinardia flaccida,Halamphora coffeiformis,Heterocapsa triquetra,Lauderia annulata,Lepidodinium chlorophorum,Leptocylindrus danicus,Levanderina fissa,Nitzschia longissima,Noctiluca scintillans,Plagioselmis prolonga,Prorocentrum triestinum,Protodinium simplex,Pseudocochlodinium profundisulcus,Pyrophacus steinii,Skeletonema marinoi,Teleaulax acuta,Tenuicylindrus belgicus,Thalassiosira allenii,Thalassiosira curviseriata,Thalassiosira mala,Thalassiosira pseudonana,Thalassiosira weissflogii,Tripos fusus
PlaHKWinMc3,8,0,1,7,19,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,3,0,0,0,2,0,0,0,0,1,18,0,6,77,1579,11,19,0,0,0,7,361,5,0,1,0,0,2,30,8,62,2,0,0,30,42,0,0,0,35,0,0,0
PlaHKWinMc4,55,1,0,9,5,0,0,0,0,1,0,0,0,36,2,1,0,0,1,0,70,0,0,0,4,0,2,1,3,7,0,1,0,0,0,1,0,0,0,0,0,7,0,0,10,333,6,36,8,0,0,5,181,25,0,15,18,7,1,19,16,99,34,0,0,30,113,0,0,0,88,0,2,0
PlaHKWinMc5,186,0,3,21,62,0,0,0,0,0,8,0,2,13,4,1,0,0,0,6,15,8,0,0,1,4,0,3,12,12,0,3,0,1,0,5,2,0,2,0,1,32,0,3,70,380,7,32,22,0,0,15,97,105,1,31,19,16,0,103,15,263,154,1,0,15,28,0,5,0,174,0,11,2
PlaHKWinMc6,78,2,1,44,15,0,1,1,0,0,4,0,0,8,2,2,0,0,0,16,17,5,0,0,4,5,1,1,7,17,0,1,0,1,1,14,0,0,0,0,1,126,0,3,80,194,10,5,12,0,1,13,57,60,0,29,2,77,0,143,16,157,67,0,0,10,16,0,7,0,100,0,6,5
PlaHKWinMc7,130,0,0,13,7,0,1,0,0,0,10,1,0,9,3,2,2,0,0,4,20,9,1,0,4,5,1,3,42,27,0,1,0,0,0,19,0,0,0,0,0,275,0,33,183,82,3,30,29,1,6,19,29,104,0,33,15,11,0,94,25,165,159,0,0,38,22,4,19,0,81,0,2,5
PlaHKWinMc8,74,0,0,24,1,0,1,0,0,0,5,0,1,11,1,3,0,0,0,25,15,4,1,0,10,2,2,2,47,30,0,1,0,0,0,21,0,0,0,0,0,233,0,26,171,103,2,36,29,0,0,13,32,74,0,48,26,23,6,79,17,157,225,0,0,77,63,3,10,1,41,1,20,6
PlaHKWinMc9,29,1,1,18,2,0,0,1,0,0,1,1,0,13,2,3,0,0,3,1,108,5,0,0,2,12,0,2,20,11,0,1,0,0,0,8,0,0,0,0,0,129,0,7,63,200,3,92,7,0,0,6,60,29,1,17,1,1,7,50,19,72,27,1,0,34,40,0,2,4,23,0,3,2
PlaHKWinMR1,30,0,0,4,5,0,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,3,0,0,0,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0,22,3019,1,1,3,0,0,1,3,15,0,7,0,21,0,44,3,36,22,0,0,2,2,1,3,1,23,0,0,1
PlaHKWinPort1,246,0,0,119,16,1,2,0,0,0,1,0,1,5,3,1,0,0,5,2,25,5,0,2,6,8,0,4,43,21,0,0,0,1,0,10,1,0,0,0,0,259,0,8,125,203,2,39,16,0,0,13,58,61,2,50,3,6,6,80,17,208,47,0,1,77,49,0,10,1,41,0,5,2
PlaHKWinPort2,497,27,0,99,16,0,0,0,1,0,4,0,5,18,0,1,0,0,18,1,16,0,0,0,5,10,4,2,11,10,0,1,0,1,0,7,1,0,0,0,0,107,0,5,142,305,6,19,13,0,0,8,26,37,6,38,3,13,5,98,15,426,36,0,1,67,24,1,2,0,82,0,0,2
